ttm,logm,put,call,name,bid,ask,iv,w,quote_minute,expiry,m,strike_price,discount_factor,forward
0.029032626055213326,-0.15811634788010318,1.4,NA,zhongzheng1000,0.6,1.4,0.4256742800035099,0.005260670982327278,2025-08-04 09:30:00,2025-08-15,0.8537504441354083,3450,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.14372761042800353,1.4,NA,zhongzheng1000,0.8,1.4,0.3917683479841047,0.004455998242495839,2025-08-04 09:30:00,2025-08-15,0.8661236389779505,3500,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.12954297543604706,1.6,NA,zhongzheng1000,1.0,1.6,0.3651247508558147,0.0038705160048453156,2025-08-04 09:30:00,2025-08-15,0.8784968338204927,3550,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.11555673346130715,1.8,NA,zhongzheng1000,1.2,1.8,0.33706062860250785,0.0032983927950686817,2025-08-04 09:30:00,2025-08-15,0.8908700286630349,3600,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.10176341132897143,2.0,NA,zhongzheng1000,1.6,2.0,0.3077210869719099,0.002749165188791435,2025-08-04 09:30:00,2025-08-15,0.903243223505577,3650,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.08815775927319276,2.0,NA,zhongzheng1000,1.8,2.2,0.2727054026947274,0.0021591052053032598,2025-08-04 09:30:00,2025-08-15,0.9156164183481191,3700,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.07473473894105205,2.6,NA,zhongzheng1000,2.2,2.6,0.2490762286452392,0.0018011541493927084,2025-08-04 09:30:00,2025-08-15,0.9279896131906613,3750,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.06148951219103138,3.4,NA,zhongzheng1000,3.2,3.4,0.22419056919913183,0.0014592207597978462,2025-08-04 09:30:00,2025-08-15,0.9403628080332035,3800,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.048417430623678696,5.0,NA,zhongzheng1000,3.4,6.2,0.20295552858190583,0.001195881348974335,2025-08-04 09:30:00,2025-08-15,0.9527360028757456,3850,0.9960770764119573,4040.993505419267
0.029032626055213326,-0.035514025787770784,11.0,NA,zhongzheng1000,8.8,10.8,0.20382339469053096,0.0012061307265340251,2025-08-04 09:30:00,2025-08-15,0.9651091977182877,3900,0.9960770764119573,4040.993505419267
